subject_id,date,session,left,right,has_right,has_left,date_parsed,day_of_week,day_name,session_hour,work_type
103,13-10-2025,09-30-00,1193.714,1196.256,1,1,2025-10-13,0,Monday,9,BO
103,13-10-2025,11-30-00,1196.58,1166.458,1,1,2025-10-13,0,Monday,11,BO
103,13-10-2025,13-30-00,1185.192,532.679,1,1,2025-10-13,0,Monday,13,BO
103,14-10-2025,09-30-00,1195.876,1194.548,1,1,2025-10-14,1,Tuesday,9,BO
103,14-10-2025,11-00-00,1195.416,1188.524,1,1,2025-10-14,1,Tuesday,11,BO
103,14-10-2025,14-00-01,1193.82,,0,1,2025-10-14,1,Tuesday,14,BO
103,15-10-2025,09-00-01,1194.957,1197.536,1,1,2025-10-15,2,Wednesday,9,BO
103,15-10-2025,11-00-00,1197.185,1196.101,1,1,2025-10-15,2,Wednesday,11,BO
103,15-10-2025,13-00-00,1170.694,600.409,1,1,2025-10-15,2,Wednesday,13,BO
103,15-10-2025,13-40-00,1192.869,,0,1,2025-10-15,2,Wednesday,13,BO
103,16-10-2025,10-30-00,1168.919,1196.993,1,1,2025-10-16,3,Thursday,10,BO
103,16-10-2025,11-30-00,,731.572,1,0,2025-10-16,3,Thursday,11,BO
103,16-10-2025,12-30-00,,1128.062,1,0,2025-10-16,3,Thursday,12,BO
103,17-10-2025,09-00-00,1191.64,1196.362,1,1,2025-10-17,4,Friday,9,BO
103,17-10-2025,11-00-00,1193.967,1190.955,1,1,2025-10-17,4,Friday,11,BO
103,17-10-2025,12-00-00,106.885,1193.943,1,1,2025-10-17,4,Friday,12,BO
103,17-10-2025,13-30-00,,1186.791,1,0,2025-10-17,4,Friday,13,BO
104,13-10-2025,14-30-00,1191.211,1194.95,1,1,2025-10-13,0,Monday,14,FO
104,13-10-2025,16-00-01,1191.257,1179.355,1,1,2025-10-13,0,Monday,16,FO
104,13-10-2025,17-30-00,1194.953,1193.065,1,1,2025-10-13,0,Monday,17,FO
104,13-10-2025,18-30-00,722.706,1177.409,1,1,2025-10-13,0,Monday,18,FO
104,14-10-2025,14-30-00,1188.656,1189.408,1,1,2025-10-14,1,Tuesday,14,FO
104,14-10-2025,15-30-00,1190.734,1192.08,1,1,2025-10-14,1,Tuesday,15,FO
104,14-10-2025,16-30-00,1197.587,1195.492,1,1,2025-10-14,1,Tuesday,16,FO
104,14-10-2025,17-30-00,1196.468,1197.793,1,1,2025-10-14,1,Tuesday,17,FO
104,15-10-2025,14-30-00,1193.33,1162.693,1,1,2025-10-15,2,Wednesday,14,FO
